PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
61.53,118.12710293078135,10.41,42.53,28.52,23.48347601937197,10.41,17.94,48.3,9.75,38.71,1.37
50.27,118.12710293078135,9.53,46.15,29.62,23.48347601937197,9.53,43.76,34.49143047551845,4.93,23.3,0.65
51.54,118.12710293078135,13.48,51.04,34.95,23.48347601937197,13.48,37.58,6.9,5.61,31.16,0.65
53.59,118.12710293078135,10.18,45.53,29.81,23.48347601937197,10.18,59.53,17.93,4.73,22.97,0.65
73.89,118.12710293078135,4.5,53.74,28.34,23.48347601937197,4.5,46.31,59.52,3.65,12.86,4.34
68.3,118.12710293078135,8.69,73.99,22.45,23.48347601937197,8.69,50.93,72.2,3.99,32.22,6.84
56.71,118.12710293078135,7.45,60.4,18.52,23.48347601937197,7.45,42.48,61.74,4.07,32.3,6.9
74.62,118.12710293078135,8.16,73.22,21.96,23.48347601937197,8.16,48.21,74.83,4.12,32.35,6.99
47.26,118.12710293078135,16.22,64.71,24.43,23.48347601937197,16.22,63.03,20.0,4.04,32.31,6.95
50.15,118.12710293078135,9.02,67.96,21.2,23.48347601937197,9.02,57.09,47.5,4.08,32.29,6.94
105.03,118.12710293078135,10.13,56.09,18.99,23.48347601937197,10.13,41.4,43.09,4.07,32.3,6.97
34.1,118.12710293078135,12.42,67.07,22.88,23.48347601937197,12.42,42.34,59.67,4.09,32.42,6.97
51.5,118.12710293078135,12.26,52.88,19.41,23.48347601937197,12.26,29.79,38.45,4.17,32.4,7.09
48.84,118.12710293078135,9.85,42.96,15.71,23.48347601937197,9.85,26.4,51.34,4.1,32.38,7.04
39.23,118.12710293078135,12.69,67.29,23.08,23.48347601937197,12.69,33.79,59.73,4.07,32.33,7.03
44.12,118.12710293078135,10.66,79.99,24.97,23.48347601937197,10.66,60.68,61.08,4.17,32.44,7.06
52.24,118.12710293078135,10.75,61.88,20.71,23.48347601937197,10.75,24.81,56.16,4.1,32.37,6.95
93.12,118.12710293078135,8.88,72.4,41.94,23.48347601937197,8.88,36.52,74.03,4.19,32.49,7.11
132.76,118.12710293078135,9.13,65.49,38.76,23.48347601937197,9.13,55.8,78.36,4.16,32.36,7.03
43.83,118.12710293078135,11.8,43.77,17.0,23.48347601937197,11.8,46.28,3.13,4.09,32.35,6.94
37.55,122.41,15.08,85.12,58.72,23.48347601937197,15.08,163.01,48.23,16.44,85.54,14.19
27.93,103.3,11.44,76.75,50.49,23.48347601937197,11.44,86.48,54.34,15.6,84.17,13.6
33.66,56.01,11.85,92.52,58.64,23.48347601937197,11.85,137.97,72.52,1.15,23.37,2.04
89.05,129.36,5.69,159.1,83.99,23.48347601937197,5.69,105.73,76.58,1.15,23.37,2.04
81.62,118.57,1.7,121.02,60.92,23.48347601937197,1.7,117.2,114.49,1.15,23.37,2.04
84.9,128.62,3.67,108.85,57.21,23.48347601937197,3.67,113.16,133.14,1.15,23.37,2.04
46.84,83.85,6.05,114.63,62.81,23.48347601937197,6.05,118.83,91.42,1.15,23.37,2.04
53.59,106.77,4.79,152.09,79.64,23.48347601937197,4.79,119.97,116.38,1.15,23.37,2.04
62.7,108.91,1.41,86.91,43.97,23.48347601937197,1.41,88.46,162.43,1.15,23.37,2.04
75.12,158.06,7.95,68.64,42.55,23.48347601937197,7.95,106.2,55.96,1.15,23.37,2.04
42.27,111.98,10.87,87.8,55.23,23.48347601937197,10.87,129.66,39.52,1.15,23.37,2.04
68.07,133.46,9.16,155.92,86.5,23.48347601937197,9.16,168.45,51.38,2.14,27.52,1.91
84.08,170.94,17.69,208.92,122.08,23.48347601937197,17.69,14.53197725590996,49.3,2.14,27.52,1.91
38.15,89.99,7.78,140.56,77.43,23.48347601937197,7.78,166.39,40.11,1.46,23.05,1.8
